Bore_ID,year,month,day,RSWL_from_SWL
bore_141234,2000,11,24,40.28
bore_141234,2000,12,13,39.54
bore_141234,2001,1,18,38.42
bore_141234,2001,2,16,37.98
bore_141234,2001,3,19,37.92
bore_141234,2001,4,17,37.72
bore_141234,2001,5,8,37.83
bore_141234,2001,6,15,37.9
bore_141234,2001,7,20,37.96
bore_141234,2001,8,17,38.84
bore_141234,2001,9,17,40.38
bore_141234,2001,10,11,40.42
bore_141234,2001,11,12,40.88
bore_141234,2001,12,13,40.68
bore_141234,2002,1,15,39.79
bore_141234,2002,2,28,38.72
bore_141234,2002,3,21,38.37
bore_141234,2002,4,10,38.15
bore_141234,2002,5,24,38.21
bore_141234,2002,6,26,38.29
bore_141234,2002,7,18,38.9
bore_141234,2002,8,16,39.9
bore_141234,2002,9,30,39.89
bore_141234,2002,10,22,39.89
bore_141234,2002,11,25,39.2
bore_141234,2002,12,17,38.75
bore_141234,2003,1,28,38.11
bore_141234,2003,2,25,37.99
bore_141234,2003,3,25,37.96
bore_141234,2003,4,15,37.94
bore_141234,2003,5,13,37.86
bore_141234,2003,6,11,37.92
bore_141234,2003,7,23,38.17
bore_141234,2003,8,21,38.48
bore_141234,2003,9,22,39.51
bore_141234,2003,10,15,39.36
bore_141234,2003,11,11,39.35
bore_141234,2003,12,11,38.73
bore_141234,2004,1,22,38.1
bore_141234,2004,2,26,37.91
bore_141234,2004,3,30,37.79
bore_141234,2004,4,22,37.76
bore_141234,2004,5,12,37.88
bore_141234,2004,6,8,37.88
bore_141234,2004,7,12,39.41
bore_141234,2004,8,25,40.92
bore_141234,2004,9,23,41.02
bore_141234,2004,10,27,40.38
bore_141234,2004,11,24,40.01
bore_141234,2004,12,8,39.73
bore_141234,2005,1,26,38.61
bore_141234,2005,2,21,38.72
bore_141234,2005,3,23,38.32
bore_141234,2005,4,14,38.08
bore_141234,2005,5,25,38
bore_141234,2005,6,29,38.09
bore_141234,2005,7,26,38.26
bore_141234,2005,8,30,39.08
bore_141234,2005,9,26,39.32
bore_141234,2005,10,20,39.42
bore_141234,2005,11,22,39.07
bore_141234,2005,12,13,38.63
bore_141234,2006,1,24,38
bore_141234,2006,2,24,37.88
bore_141234,2006,3,28,37.71
bore_141234,2006,4,22,37.76
bore_141234,2006,5,24,37.97
bore_141234,2006,6,16,37.96
bore_141234,2006,7,29,38.28
bore_141234,2006,8,14,38.36
bore_141234,2006,9,23,38.25
bore_141234,2006,10,22,37.91
bore_141234,2006,11,9,37.82
bore_141234,2006,12,18,37.53
bore_141234,2007,1,21,37.43
bore_141234,2007,2,14,37.38
bore_141234,2007,3,23,37.22
bore_141234,2007,4,25,37.18
bore_141234,2007,5,9,37.27
bore_141234,2007,6,11,37.5
bore_141234,2007,7,14,38.3
bore_141234,2007,8,14,39.27
bore_141234,2007,9,12,39.13
bore_141234,2007,10,10,39.48
bore_141234,2007,11,14,39.47
bore_141234,2007,12,19,38.44
bore_141234,2008,1,17,38.04
bore_141234,2008,2,12,37.9
bore_141234,2008,3,13,37.64
bore_141234,2008,4,17,37.63
bore_141234,2008,5,14,37.64
bore_141234,2008,6,13,37.68
bore_141234,2008,6,24,37.713
bore_141234,2008,7,10,39.06
bore_141234,2008,8,11,39.84
bore_141234,2008,9,10,40.75
bore_141234,2008,10,13,40.24
bore_141234,2008,11,12,39.46
bore_141234,2008,12,11,38.76
bore_141234,2009,1,13,38.59
bore_141234,2009,2,11,38.01
bore_141234,2009,3,10,37.77
bore_141234,2009,4,15,37.65
bore_141234,2009,5,15,37.87
bore_141234,2009,6,11,38.4
bore_141234,2009,7,17,39.05
bore_141234,2009,8,12,39.76
bore_141234,2009,9,10,41.02
bore_141234,2009,10,16,40.85
bore_141234,2009,11,13,40.16
bore_141234,2009,12,17,39.47
bore_141234,2010,1,19,38.54
bore_141234,2010,2,10,38.22
bore_141234,2010,3,17,38.05
bore_141234,2010,4,16,37.99
bore_141234,2010,5,20,38.04
bore_141234,2010,6,18,38.13
bore_141234,2010,7,21,38.25
bore_141234,2010,8,12,39.99
bore_141234,2010,9,22,41.02
bore_141234,2010,10,22,40.73
bore_141234,2010,11,9,40.76
bore_141234,2010,12,16,40.96
bore_141234,2011,1,19,40.75
bore_141234,2011,2,11,40.12
bore_141234,2011,3,10,39.61
bore_141234,2011,4,12,39.8
bore_141234,2011,5,10,40.01
bore_141234,2011,6,16,40.86
bore_141234,2011,7,13,41.32
bore_141234,2011,8,24,41.1
bore_141234,2011,9,30,40.8
bore_141234,2011,10,24,40.62
bore_141234,2011,11,22,40.07
bore_141234,2011,12,20,39.45
bore_141234,2012,1,23,38.81
bore_141234,2012,2,28,38.43
bore_141234,2012,3,29,38.37
bore_141234,2012,4,24,38.27
bore_141234,2012,5,22,38.3
bore_141234,2012,6,25,38.51
bore_141234,2012,7,26,40.88
bore_141234,2012,8,27,40.82
bore_141234,2012,9,28,40.74
bore_141234,2012,10,26,40.44
bore_141234,2012,11,27,39.7
bore_141234,2012,12,28,39.06
bore_141234,2013,1,23,38.67
bore_141234,2013,2,27,38.38
bore_141234,2013,3,25,38.19
bore_141234,2013,4,25,38.1
bore_141234,2013,5,27,38.25
bore_141234,2013,6,24,38.29
bore_141234,2013,7,26,38.87
bore_141234,2013,8,29,41.17
bore_141234,2013,9,26,40.98
bore_141234,2013,10,24,41.19
bore_141234,2013,11,26,40.71
bore_141234,2013,12,23,40.13
bore_141234,2014,1,31,39.19
bore_141234,2014,2,26,38.74
bore_141234,2014,3,26,38.54
bore_141234,2014,4,22,38.43
bore_141234,2014,5,28,38.56
bore_141234,2014,6,23,38.83
bore_141234,2014,7,22,41.11
bore_141234,2014,8,28,40.98
bore_141234,2014,9,23,40.59
bore_141234,2014,10,31,39.99
bore_141234,2014,11,26,40.44
bore_141234,2014,12,22,38.92
bore_141234,2015,1,27,38.6
bore_141234,2015,2,23,38.35
bore_141234,2015,3,24,38.2
bore_141234,2015,4,27,38.15
bore_141234,2015,5,25,38.22
bore_141234,2015,6,24,38.3
bore_141234,2015,7,27,38.81
bore_141234,2015,8,25,39.48
bore_141234,2015,9,25,39.48
bore_141234,2015,10,29,38.84
bore_141234,2015,11,26,38.49
bore_141234,2015,12,21,38.24
bore_141234,2016,1,29,38.01
bore_141234,2016,2,25,37.93
bore_141234,2016,3,23,37.8
bore_141234,2016,4,29,37.83
bore_141234,2016,5,24,37.81
bore_141234,2016,6,27,37.93
