BoreID,Year,Month,Day,Hour,Minute,Obs_Head 
bore_WRK961324,2003,11,11,0,0,37.15
bore_WRK961324,2003,12,11,0,0,36.75
bore_WRK961324,2004,1,22,0,0,36.43
bore_WRK961324,2004,2,26,0,0,36.31
bore_WRK961324,2004,3,30,0,0,36.37
bore_WRK961324,2004,4,22,0,0,36.37
bore_WRK961324,2004,5,12,0,0,36.52
bore_WRK961324,2004,6,8,0,0,36.53
bore_WRK961324,2004,7,12,0,0,37.55
bore_WRK961324,2004,8,25,0,0,37.79
bore_WRK961324,2004,9,23,0,0,37.88
bore_WRK961324,2004,10,27,0,0,37.4
bore_WRK961324,2004,11,24,0,0,37.26
bore_WRK961324,2004,12,8,0,0,37.12
bore_WRK961324,2005,1,26,0,0,36.6
bore_WRK961324,2005,2,21,0,0,36.73
bore_WRK961324,2005,3,23,0,0,36.61
bore_WRK961324,2005,4,14,0,0,36.49
bore_WRK961324,2005,5,25,0,0,36.54
bore_WRK961324,2005,6,29,0,0,36.68
bore_WRK961324,2005,7,26,0,0,36.79
bore_WRK961324,2005,8,30,0,0,37.16
bore_WRK961324,2005,9,26,0,0,37.25
bore_WRK961324,2005,10,20,0,0,37.33
bore_WRK961324,2005,11,22,0,0,36.99
bore_WRK961324,2005,12,13,0,0,36.73
bore_WRK961324,2006,1,24,0,0,36.37
bore_WRK961324,2006,2,24,0,0,36.34
bore_WRK961324,2006,3,28,0,0,36.3
bore_WRK961324,2006,4,22,0,0,36.43
bore_WRK961324,2006,5,24,0,0,36.6
bore_WRK961324,2006,6,16,0,0,36.6
bore_WRK961324,2006,8,14,0,0,36.82
bore_WRK961324,2006,9,23,0,0,36.72
bore_WRK961324,2006,10,22,0,0,36.49
bore_WRK961324,2006,11,9,0,0,36.42
bore_WRK961324,2006,12,18,0,0,36.13
bore_WRK961324,2007,1,21,0,0,36.1
bore_WRK961324,2007,2,14,0,0,36.13
bore_WRK961324,2007,3,23,0,0,35.97
bore_WRK961324,2007,4,25,0,0,36.05
bore_WRK961324,2007,5,9,0,0,36.18
bore_WRK961324,2007,6,11,0,0,36.43
bore_WRK961324,2007,7,14,0,0,37.05
bore_WRK961324,2007,8,14,0,0,37.47
bore_WRK961324,2007,9,12,0,0,37.07
bore_WRK961324,2007,10,10,0,0,37.28
bore_WRK961324,2007,11,14,0,0,37.13
bore_WRK961324,2007,12,19,0,0,36.58
bore_WRK961324,2008,1,17,0,0,36.39
bore_WRK961324,2008,2,12,0,0,36.35
bore_WRK961324,2008,3,13,0,0,36.19
bore_WRK961324,2008,4,17,0,0,36.33
bore_WRK961324,2008,5,14,0,0,36.39
bore_WRK961324,2008,6,13,0,0,36.44
bore_WRK961324,2008,7,10,0,0,36.9
bore_WRK961324,2008,8,11,0,0,37.62
bore_WRK961324,2008,9,10,0,0,37.67
bore_WRK961324,2008,10,13,0,0,37.38
bore_WRK961324,2008,11,12,0,0,37.04
bore_WRK961324,2008,12,11,0,0,36.8
bore_WRK961324,2009,1,13,0,0,36.71
bore_WRK961324,2009,2,11,0,0,36.4
bore_WRK961324,2009,3,10,0,0,36.3
bore_WRK961324,2009,4,15,0,0,36.31
bore_WRK961324,2009,5,15,0,0,36.56
bore_WRK961324,2009,6,11,0,0,36.9
bore_WRK961324,2009,7,17,0,0,37.27
bore_WRK961324,2009,8,12,0,0,37.43
bore_WRK961324,2009,9,10,0,0,37.98
bore_WRK961324,2009,10,16,0,0,37.66
bore_WRK961324,2009,11,13,0,0,37.26
bore_WRK961324,2009,12,17,0,0,37.03
bore_WRK961324,2010,1,19,0,0,36.67
bore_WRK961324,2010,2,10,0,0,36.52
bore_WRK961324,2010,3,17,0,0,36.52
bore_WRK961324,2010,4,16,0,0,36.57
bore_WRK961324,2010,5,20,0,0,36.67
bore_WRK961324,2010,6,18,0,0,36.74
bore_WRK961324,2010,7,21,0,0,36.83
bore_WRK961324,2010,8,12,0,0,37.88
bore_WRK961324,2010,9,22,0,0,37.86
bore_WRK961324,2010,10,22,0,0,37.65
bore_WRK961324,2010,11,9,0,0,37.66
bore_WRK961324,2010,12,16,0,0,37.81
bore_WRK961324,2011,1,19,0,0,37.7
bore_WRK961324,2011,2,11,0,0,37.31
bore_WRK961324,2011,3,10,0,0,37.2
bore_WRK961324,2011,4,12,0,0,37.39
bore_WRK961324,2011,5,10,0,0,37.41
bore_WRK961324,2011,6,16,0,0,37.85
bore_WRK961324,2011,7,13,0,0,38.29
bore_WRK961324,2011,8,24,0,0,37.97
bore_WRK961324,2011,9,30,0,0,37.68
bore_WRK961324,2011,10,24,0,0,37.58
bore_WRK961324,2011,11,22,0,0,37.31
bore_WRK961324,2011,12,20,0,0,37.09
bore_WRK961324,2012,1,23,0,0,36.78
bore_WRK961324,2012,2,28,0,0,36.63
bore_WRK961324,2012,3,29,0,0,36.69
bore_WRK961324,2012,4,24,0,0,36.68
bore_WRK961324,2012,5,22,0,0,36.73
bore_WRK961324,2012,6,25,0,0,36.95
bore_WRK961324,2012,7,26,0,0,37.47
bore_WRK961324,2012,8,27,0,0,37.84
bore_WRK961324,2012,9,28,0,0,37.65
bore_WRK961324,2012,10,26,0,0,37.51
bore_WRK961324,2012,11,27,0,0,37.13
bore_WRK961324,2012,12,28,0,0,36.87
bore_WRK961324,2013,1,23,0,0,36.68
bore_WRK961324,2013,2,27,0,0,36.58
bore_WRK961324,2013,3,25,0,0,36.53
bore_WRK961324,2013,4,25,0,0,36.56
bore_WRK961324,2013,5,27,0,0,36.73
bore_WRK961324,2013,6,24,0,0,36.82
bore_WRK961324,2013,7,26,0,0,37.13
bore_WRK961324,2013,8,29,0,0,38.06
bore_WRK961324,2013,9,26,0,0,37.84
bore_WRK961324,2013,10,24,0,0,38.24
bore_WRK961324,2013,11,26,0,0,37.58
bore_WRK961324,2013,12,23,0,0,37.34
bore_WRK961324,2014,1,31,0,0,36.85
bore_WRK961324,2014,2,26,0,0,36.72
bore_WRK961324,2014,3,26,0,0,36.72
bore_WRK961324,2014,4,22,0,0,36.72
bore_WRK961324,2014,5,28,0,0,36.9
bore_WRK961324,2014,6,23,0,0,37
bore_WRK961324,2014,7,22,0,0,38.11
bore_WRK961324,2014,8,28,0,0,37.79
bore_WRK961324,2014,9,23,0,0,37.54
bore_WRK961324,2014,10,31,0,0,37.26
bore_WRK961324,2014,11,26,0,0,37.21
bore_WRK961324,2014,12,22,0,0,36.83
bore_WRK961324,2015,1,27,0,0,36.75
bore_WRK961324,2015,2,23,0,0,36.59
bore_WRK961324,2015,3,24,0,0,36.56
bore_WRK961324,2015,4,27,0,0,36.66
bore_WRK961324,2015,5,25,0,0,36.62
bore_WRK961324,2015,6,24,0,0,36.82
bore_WRK961324,2015,7,27,0,0,37.09
bore_WRK961324,2015,8,25,0,0,37.34
bore_WRK961324,2015,9,25,0,0,37.28
bore_WRK961324,2015,10,29,0,0,36.88
bore_WRK961324,2015,11,26,0,0,36.71
bore_WRK961324,2015,12,21,0,0,36.56
bore_WRK961324,2016,1,29,0,0,36.39
bore_WRK961324,2016,2,25,0,0,36.45
bore_WRK961324,2016,3,23,0,0,36.36
bore_WRK961324,2016,4,29,0,0,36.37
bore_WRK961324,2016,5,24,0,0,36.71
bore_WRK961324,2016,6,27,0,0,37.42
